City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,capilla del monte,-30.8609,-64.5251,46.09,43,0,3.42,AR,1723511213
348,beipiao,41.7919,120.7792,75.22,75,65,13.96,CN,1723511287
349,sayyan,15.1718,44.3244,63.68,66,100,4.92,YE,1723511288
350,walvis bay,-22.9575,14.5053,54.5,89,0,4.21,NA,1723511289
351,egilsstadir,65.2653,-14.3948,49.15,99,100,10.02,IS,1723511290
352,richards bay,-28.783,32.0377,64.31,77,92,5.79,ZA,1723511291
353,bismarck,46.8083,-100.7837,76.64,51,0,11.5,US,1723511292
354,yesilova,37.5081,29.7547,65.25,44,0,1.7,TR,1723511294
355,malango,-2.9627,119.9001,75.16,74,54,3.58,ID,1723511295
356,kwang binh,17.4833,106.6,87.24,63,100,8.95,VN,1723511296
357,ilhabela,-23.7781,-45.3581,56.97,68,4,6.02,BR,1723511297
358,basco,20.4487,121.9702,84.96,80,100,21.72,PH,1723511298
359,ulladulla,-35.35,150.4667,61.2,71,100,8.66,AU,1723511299
360,hobyo,5.3505,48.5268,75.22,87,7,21.99,SO,1723511300
